date,valeur,qualificatif,temperature,humidity
2019-11-28,26.943914420683104,Bon,287.1214884696019,81.22641509433963
2019-11-29,26.335217588728298,Bon,286.35414937759333,82.21576763485477
2019-11-30,21.466196356735,Bon,284.51991701244816,83.75311203319502
2019-12-01,12.0904734355787,Très bon,284.38752620545057,84.66666666666667
2019-12-02,18.5154452465387,Très bon,283.402201257862,81.83438155136268
2019-12-03,35.7296877358716,Bon,282.29875000000027,83.11458333333333
2019-12-04,92.2316477551359,Mauvais,282.2104166666666,82.52291666666666
2019-12-05,94.8514861143768,Mauvais,282.57448132780064,82.17219917012449
2019-12-06,92.0686299025956,Mauvais,284.1037344398341,83.98340248962656
2019-12-07,87.5299679979123,Médiocre,285.85964360586996,83.51781970649895
2019-12-08,40.903161150775794,Bon,286.2892484342379,81.67640918580376
2019-12-09,26.748417517954998,Bon,285.68112033195035,76.53941908713693
2019-12-10,29.0784348319096,Bon,283.9641025641024,77.72008547008546
2019-12-11,35.507868621010395,Bon,283.81234309623426,80.4539748953975
2019-12-12,29.3831983156211,Bon,283.8685416666666,82.33541666666666
2019-12-13,28.5729169208391,Bon,285.6654989384287,80.10615711252655
2019-12-14,25.892617028341103,Bon,286.9361635220128,78.41299790356395
2019-12-15,21.434927920771397,Bon,286.8605590062108,80.64596273291926
2019-12-16,29.889442595226196,Bon,286.9598121085595,83.36743215031315
2019-12-17,33.2314296337235,Bon,287.5641666666669,79.49375
2019-12-18,56.6359577194003,Moyen,286.91923076923075,83.14968814968815
2019-12-19,30.1662927738241,Bon,288.0917355371902,78.52892561983471
2019-12-20,30.573093742151297,Bon,287.1706250000001,81.92916666666666
2019-12-21,23.6815512091639,Bon,286.270041322314,82.65702479338843
2019-12-22,28.5460758740385,Bon,286.40729166666677,78.17291666666667
2019-12-23,30.1025452876727,Bon,285.9604602510461,77.1234309623431
2019-12-24,26.728943923433498,Bon,287.2539999999999,80.21684210526315
2019-12-25,26.838383449306,Bon,285.9204402515725,81.19916142557652
2019-12-26,30.4102142455224,Bon,285.0395833333335,82.23958333333333
2019-12-27,19.4116802512427,Très bon,286.05187500000005,84.54375
2019-12-28,15.648779941461301,Très bon,284.31496815286596,82.89384288747345
2019-12-29,29.9646736220191,Bon,281.8761603375528,84.5886075949367
2019-12-30,59.6344762079879,Moyen,282.03791666666655,83.12291666666667
2019-12-31,88.70523228681792,Médiocre,282.2937238493725,84.6255230125523
